score	original_score	energy	scoring_function	pose_path	time
-35.43816586040265	-22.971755160632824	-237.63757259340167	DDG	variants/dg_temp_10/DDG_1.pdb	283.8052256860001
-37.13630629989163	-22.971755160632824	-238.00878754491265	DDG	variants/dg_temp_10/DDG_2.pdb	296.3177736570001
-33.36979488235477	-22.971755160632824	-239.40137595426626	DDG	variants/dg_temp_10/DDG_3.pdb	404.2250417370001
-21.66968496291031	-22.971755160632824	-231.37605888207386	DDG	variants/dg_temp_10/DDG_4.pdb	139.88897356799998
-33.75527938368555	-22.971755160632824	-248.78507231623976	DDG	variants/dg_temp_10/DDG_5.pdb	497.1426560670002
-24.71044613425704	-22.971755160632824	-243.98016234133502	DDG	variants/dg_temp_10/DDG_6.pdb	82.5514852060005
-43.71737376684936	-22.971755160632824	-253.4266480903151	DDG	variants/dg_temp_10/DDG_7.pdb	430.603450695
-32.60845871608177	-22.971755160632824	-255.13827730320773	DDG	variants/dg_temp_10/DDG_8.pdb	540.4414358819995
-33.33401883269937	-22.971755160632824	-212.93992226481774	DDG	variants/dg_temp_10/DDG_9.pdb	305.1638630059997
-23.527984991777657	-22.971755160632824	-229.6085431014813	DDG	variants/dg_temp_10/DDG_10.pdb	492.23406311000053
-36.48530387664957	-22.971755160632824	-239.1319051673947	DDG	variants/dg_temp_10/DDG_11.pdb	509.86904427900026
-41.72194686170795	-22.971755160632824	-247.81235874913972	DDG	variants/dg_temp_10/DDG_12.pdb	585.5335810609995
39.74456219122504	-22.971755160632824	387.66433211708636	DDG	variants/dg_temp_10/DDG_13.pdb	557.6540211500005
-31.936283663022152	-22.971755160632824	-262.23945325985176	DDG	variants/dg_temp_10/DDG_14.pdb	85.81079277499975
-32.67326357326158	-22.971755160632824	-238.94384576115417	DDG	variants/dg_temp_10/DDG_15.pdb	493.53700862700043
-24.071139514668943	-22.971755160632824	-270.1566998398846	DDG	variants/dg_temp_10/DDG_16.pdb	67.55434646299909
-25.98653889425566	-22.971755160632824	-151.76591384363678	DDG	variants/dg_temp_10/DDG_17.pdb	122.58876502100065
-30.986983018193058	-22.971755160632824	-234.74306779086746	DDG	variants/dg_temp_10/DDG_18.pdb	437.48843272500017
-33.19788636435109	-22.971755160632824	-242.12824328373034	DDG	variants/dg_temp_10/DDG_19.pdb	560.7883649300002
-23.982749861164223	-22.971755160632824	-274.5371364785735	DDG	variants/dg_temp_10/DDG_20.pdb	70.79351673900055
